,0
200,Commonwealth Veterinary Association |Animal Welfare
201,Future of Life Institute |Longtermism
202,AI Impacts|Longtermism
203,Fortify Health|Global Health
204,Mercy For Animals|Animal Welfare
205,Nick Otis|Global Health
206,Changing Tastes|Animal Welfare
207,Aquaculture Stewardship Council|Animal Welfare
208,Founders Pledge|Meta
209,AI Scholarships|Longtermism
210,Farm Forward|Animal Welfare
211,Blue Ribbon Study Panel on Biodefense|Longtermism
212,Family Farm Action|Animal Welfare
213,Humane Society Legislative Fund|Animal Welfare
214,American Society for Microbiology|Longtermism
215,Carnegie Endowment for International Peace|Longtermism
216,Association L214|Animal Welfare
217,New Incentives |Global Health
218,InterAcademy Partnership|Longtermism
219,Otwarte Klatki|Animal Welfare
220,David Manheim|Longtermism
221,Harvard University |Animal Welfare
222,Global Aquaculture Alliance|Animal Welfare
223,Solar Radiation Management Governance Initiative|Longtermism
224,Centre for Pesticide Suicide Prevention|Global Health
225,Center for Effective Global Action at UC Berkeley|Global Health
226,Yale University|Longtermism
227,Smithsonian Institution|Longtermism
228,Montreal Institute for Learning Algorithms|Longtermism
229,University of Pennsylvania|Meta
230,Animal Welfare Action Lab|Animal Welfare
231,UCLA School of Law|Longtermism
232,People for Animals|Animal Welfare
233,North Carolina State University|Longtermism
234,Genspace |Longtermism
235,"National Academies of Sciences, Engineering, and Medicine|Longtermism"
236,BioBricks Foundation|Longtermism
237,New Incentives|Global Health
238,Institute for Advancement of Animal Welfare Science|Animal Welfare
239,OpenAI|Longtermism
240,Wageningen UR|Animal Welfare
241,Distill Prize for Clarity in Machine Learning|Longtermism
242,ClimateWorks Foundation|Longtermism
243,Dyrevernalliansen (The Norwegian Animal Protection Alliance)|Animal Welfare
244,Harvard University|Longtermism
245,Green Monday|Animal Welfare
246,Electronic Frontier Foundation|Longtermism
247,Humane Society of the United States|Animal Welfare
248,Charity Science: Health|Global Health
249,University of Cape Town|Longtermism
250,George Mason University|Longtermism
251,Forum for Climate Engineering Assessment|Longtermism
252,International Genetically Engineered Machine Foundation|Longtermism
253,Innovations for Poverty Action|Global Health
254,The Humane Society of the United States|Animal Welfare
255,Abdul Latif Jameel Poverty Action Lab|Global Health
256,Brookings Institution|Meta
257,Blue Ribbon Study Panel on Biodefense |Longtermism
258,Carnegie Endowment for International Peace|Meta
259,"Associated Students of the University of California, Berkeley|Meta"
260,Alliance for Open Society International|Meta
261,Cochrane Collaboration|Meta
262,International Development Association|Meta
263,Population Services International|Meta
264,United States Cochrane Center|Meta
