Grant,Organization Name,Focus Area,Amount,Date,,,,,,,,,,,,,,
Colorado Criminal Justice Reform Coalition 4 Action — Prosecutor Accountability,Colorado Criminal Justice Reform Coalition 4 Action,Criminal Justice Reform,100000,10/1/2020,,,,,,,,,,,,,,
Helping Educate to Advance the Rights of Deaf Communities — General Support (2020),Helping Educate to Advance the Rights of Deaf Communities,Criminal Justice Reform,50000,10/1/2020,,,,,,,,,,,,,,
Vegan Women Summit — Plant- and Cell-Based Startup Pitch Competition,Vegan Women Summit,Farm Animal Welfare,20000,10/1/2020,,,,,,,,,,,,,,
Smitha Milli — Participatory Approaches to Machine Learning Workshop,Smitha Milli,Potential Risks from Advanced Artificial Intelligence,370,10/1/2020,,,,,,,,,,,,,,
Centre for Effective Altruism — Longtermist Incubator,Centre for Effective Altruism,Other areas,500000,9/1/2020,,,,,,,,,,,,,,
Federation of American Scientists — International Science Advisory Body for Biosecurity,Federation of American Scientists,Biosecurity and Pandemic Preparedness,175000,9/1/2020,,,,,,,,,,,,,,
The Humane League — Open Wing Alliance (2020),The Humane League,Farm Animal Welfare,3600000,9/1/2020,,,,,,,,,,,,,,
Center for International Security and Cooperation — AI Accident Risk and Technology Competition,Center for International Security and Cooperation ,Potential Risks from Advanced Artificial Intelligence,67000,9/1/2020,,,,,,,,,,,,,,
"Rice, Hadley, Gates and Manuel LLC — AI Accident Risk and Technology Competition","Rice, Hadley, Gates & Manuel LLC",Potential Risks from Advanced Artificial Intelligence,25000,9/1/2020,,,,,,,,,,,,,,
Asia for Animals — Farm Animal Welfare Coordinator,Asia for Animals,Farm Animal Welfare,52400,9/1/2020,,,,,,,,,,,,,,
Free Hearts — Criminal Justice Reform (2020),Free Hearts,Criminal Justice Reform,150000,9/1/2020,,,,,,,,,,,,,,
World Animal Net — Broiler Chicken and Pig Welfare Guidelines ,World Animal Net,Farm Animal Welfare,37600,9/1/2020,,,,,,,,,,,,,,
"Run, George, Run — General Support (September 2020)","Run, George, Run",Criminal Justice Reform,45000,9/1/2020,,,,,,,,,,,,,,
"We Got Us Now — Leadership, Training, and Planning Support (2020)",We Got Us Now,Criminal Justice Reform,100000,9/1/2020,,,,,,,,,,,,,,
"University of California, Los Angeles — Social Science Genetic Association Consortium (2020)","University of California, Los Angeles",Scientific Research,2250000,9/1/2020,,,,,,,,,,,,,,
AcceleratingHT — COVID-19 Response ,AcceleratingHT,Biosecurity and Pandemic Preparedness,50000,9/1/2020,,,,,,,,,,,,,,
Newark Community Street Team — Community-Based Public Safety Work,Newark Community Street Team,Criminal Justice Reform,60000,9/1/2020,,,,,,,,,,,,,,
Center for Strategic and International Studies — AI Accident Risk and Technology Competition,Center for Strategic and International Studies,Potential Risks from Advanced Artificial Intelligence,75245,9/1/2020,,,,,,,,,,,,,,
BlackRoots Alliance — Work on Prosecutor Accountability (2020),BlackRoots Alliance,Criminal Justice Reform,15000,9/1/2020,,,,,,,,,,,,,,
Black Strategy Fund — General Support,Black Strategy Fund,Criminal Justice Reform,100000,9/1/2020,,,,,,,,,,,,,,
Riboscience — COVID-19 Drug Research,Riboscience,Scientific Research,210000,9/1/2020,,,,,,,,,,,,,,
UC Berkeley — Assessing COVID-19 Infection Prevalence in Rural Kenya (Amy Pickering and Michael Kremer),UC Berkeley,Scientific Research,220000,8/1/2020,,,,,,,,,,,,,,
University of Pennsylvania — Geopolitical Forecasting Research, University of Pennsylvania ,Other areas,29432,8/1/2020,,,,,,,,,,,,,,
InMyWords — Restorative Justice,InMyWords,Criminal Justice Reform,61500,8/1/2020,,,,,,,,,,,,,,
Icosavax — COVID-19 Vaccine Development,Icosavax,Scientific Research,6500000,8/1/2020,,,,,,,,,,,,,,
Labor Mobility Partnerships — International Labor Mobility,Labor Mobility Partnerships,Immigration Policy,500000,8/1/2020,,,,,,,,,,,,,,
Workers Center for Racial Justice — Prosecutorial Accountability in Chicago (2020),Workers Center for Racial Justice,Criminal Justice Reform,20000,8/1/2020,,,,,,,,,,,,,,
Catalyst — Farm Animal Welfare i﻿n Thailand,Catalyst,Farm Animal Welfare,350000,8/1/2020,,,,,,,,,,,,,,
Southsiders Organized for Unity and Liberation — Prosecutorial Accountability,Southsiders Organized for Unity and Liberation,Criminal Justice Reform,150000,8/1/2020,,,,,,,,,,,,,,
Economic Policy Institute — Macroeconomic Policy Research (2020),Economic Policy Institute,Macroeconomic Stabilization Policy,550000,8/1/2020,,,,,,,,,,,,,,
Michigan Liberation — Prosecutor Accountability (2020),Michigan Liberation,Criminal Justice Reform,80000,8/1/2020,,,,,,,,,,,,,,
Royal Society for the Prevention of Cruelty to Animals — Farm Animal Welfare Advocacy in Asia (2020),Royal Society for the Prevention of Cruelty to Animals,Farm Animal Welfare,500000,8/1/2020,,,,,,,,,,,,,,
 Early-Career Funding for Global Catastrophic Biological Risks — Scholarship Support (2019-2020),Early-Career Funding for Global Catastrophic Biological Risks,Biosecurity and Pandemic Preparedness,1402330,7/1/2020,,,,,,,,,,,,,,
Group Nine Media — Factory Farming Videos (2020),Group Nine Media,Farm Animal Welfare,680448,7/1/2020,,,,,,,,,,,,,,
Employ America — General Support (2020),Employ America,Macroeconomic Stabilization Policy,1000000,7/1/2020,,,,,,,,,,,,,,
The People's Lobby — Prosecutorial Accountability,The People's Lobby,Criminal Justice Reform,125000,7/1/2020,,,,,,,,,,,,,,
New York University — Work on Fish Welfare (2020),New York University,Farm Animal Welfare,95000,7/1/2020,,,,,,,,,,,,,,
Mass Liberation Project — General Support (2020),Mass Liberation Project,Criminal Justice Reform,150000,7/1/2020,,,,,,,,,,,,,,
215 People's Alliance — Criminal Justice Reform Coalition,215 People’s Alliance,Criminal Justice Reform,155000,7/1/2020,,,,,,,,,,,,,,
Stanford University — Universal Flu Drug Research (Jeffrey Glenn),Stanford University,Scientific Research,415000,7/1/2020,,,,,,,,,,,,,,
VST Bio — Stroke Treatment,VST Bio,Scientific Research,2000000,7/1/2020,,,,,,,,,,,,,,
VegeProject — Corporate Outreach,VegeProject,Farm Animal Welfare,102400,7/1/2020,,,,,,,,,,,,,,
Project NIA — Transformative Justice Work Led by Mariame Kaba (2020),Project NIA,Criminal Justice Reform,170000,7/1/2020,,,,,,,,,,,,,,
Dharma Voices for Animals — Farm Animal Welfare Legislation,Dharma Voices for Animals,Farm Animal Welfare,150000,7/1/2020,,,,,,,,,,,,,,
Momentum — Criminal Justice Reform Trainings (2020),Momentum,Criminal Justice Reform,9000,7/1/2020,,,,,,,,,,,,,,
Rita Allen Foundation — Award in Pain Scholars ,Rita Allen Foundation,Scientific Research,330000,7/1/2020,,,,,,,,,,,,,,
"Grassroots Leadership, Inc. — Texas Advocates for Justice Project (2020)"," Grassroots Leadership, Inc.",Criminal Justice Reform,150000,7/1/2020,,,,,,,,,,,,,,
Wilson Center — AI Policy Seminar Series (June 2020),The Wilson Center,Potential Risks from Advanced Artificial Intelligence,496540,6/1/2020,,,,,,,,,,,,,,
VOCAL-NY — Prosecutor Accountability,VOCAL-NY,Criminal Justice Reform,200000,6/1/2020,,,,,,,,,,,,,,
Animal Advocacy Careers — General Support,Animal Advocacy Careers,Farm Animal Welfare,432000,6/1/2020,,,,,,,,,,,,,,
Stanford University — Coronavirus Drug Research (June 2020) (Jeffrey Glenn),Stanford University,Scientific Research,2531000,6/1/2020,,,,,,,,,,,,,,
Frontline Dads — General Support (June 2020),Frontline Dads,Criminal Justice Reform,15000,6/1/2020,,,,,,,,,,,,,,
Foundation for Food and Agriculture Research — Chickpea and Corn Zein Research,Foundation for Food and Agriculture Research,Farm Animal Welfare,444000,6/1/2020,,,,,,,,,,,,,,
Foundation for Food and Agriculture Research — Plant Protein Optimization Research,Foundation for Food and Agriculture Research,Scientific Research,250000,6/1/2020,,,,,,,,,,,,,,
World of Good — Research on Farm Animal Welfare Legislation,World of Good ,Farm Animal Welfare,10178,6/1/2020,,,,,,,,,,,,,,
We Animals Media — Content for Farm Animal Welfare Advocacy (2020),We Animals Media,Farm Animal Welfare,517000,6/1/2020,,,,,,,,,,,,,,
Food Frontier — Plant-Based Meat Alternatives,Food Frontier,Farm Animal Welfare,200000,6/1/2020,,,,,,,,,,,,,,
Andrew Lohn — A Paper on Machine Learning Model Robustness,Andrew Lohn,Potential Risks from Advanced Artificial Intelligence,15000,6/1/2020,,,,,,,,,,,,,,
JusticeLA — General Support,JusticeLA,Criminal Justice Reform,100000,6/1/2020,,,,,,,,,,,,,,
Harvard University — Biosecurity and Biosafety,Harvard University ,Biosecurity and Pandemic Preparedness,315000,6/1/2020,,,,,,,,,,,,,,
Center for Popular Democracy — Fed Up Campaign (2020),Center for Popular Democracy,Macroeconomic Stabilization Policy,465000,6/1/2020,,,,,,,,,,,,,,
CAF America — Farm Animal Welfare,CAF America,Farm Animal Welfare,130670,6/1/2020,,,,,,,,,,,,,,
Centre for the Governance of AI — General Support,Centre for the Governance of AI,Potential Risks from Advanced Artificial Intelligence,450000,5/1/2020,,,,,,,,,,,,,,
Center for Population-Level Bioethics — General Support,Center for Population-Level Bioethics,Biosecurity and Pandemic Preparedness,250000,5/1/2020,,,,,,,,,,,,,,
Encompass — Diversity in the Farm Animal Welfare Movement ,Encompass,Farm Animal Welfare,200000,5/1/2020,,,,,,,,,,,,,,
Kainomyx — Antimalarial Drug,Kainomyx,Scientific Research,1999999,5/1/2020,,,,,,,,,,,,,,
Charity Entrepreneurship — Development of New Animal Welfare Charities,Charity Entrepreneurship,Farm Animal Welfare,260000,5/1/2020,,,,,,,,,,,,,,
Working Families Party — Prosecutor Reforms in New York (2020),Working Families Party,Criminal Justice Reform,117300,5/1/2020,,,,,,,,,,,,,,
Gryphon Scientific — Empirical Biosafety Research,Gryphon Scientific,Biosecurity and Pandemic Preparedness,2000000,5/1/2020,,,,,,,,,,,,,,
Future of Humanity Institute — Research Scholars Programme,Future of Humanity Institute,Global Catastrophic Risks,1586224,5/1/2020,,,,,,,,,,,,,,
The Leadership Conference on Civil and Human Rights — Federal Criminal Justice Reform Advocacy (April 2020),The Leadership Conference on Civil and Human Rights,Criminal Justice Reform,75000,5/1/2020,,,,,,,,,,,,,,
Animal Outlook — Factory Farm Investigations Media Coverage,Animal Outlook,Farm Animal Welfare,44200,5/1/2020,,,,,,,,,,,,,,
The Pollination Project — Farm Animal and Veg Advocacy Conference,The Pollination Project,Farm Animal Welfare,75800,5/1/2020,,,,,,,,,,,,,,
Public Policy and Education Fund of New York — Criminal Justice Reform,Public Policy and Education Fund of New York,Criminal Justice Reform,15000,5/1/2020,,,,,,,,,,,,,,
Duke University — COVID-19 Antiviral Studies (Ria Goswami),Duke University,Scientific Research,130982,5/1/2020,,,,,,,,,,,,,,
Penn State University — Research on Emergency Food Resilience (Charles Anderson) (2020),Penn State University,Scientific Research,3064660,5/1/2020,,,,,,,,,,,,,,
Eurogroup for Animals — EU Chicken Welfare Advocacy (2020),Eurogroup for Animals,Farm Animal Welfare,635000,5/1/2020,,,,,,,,,,,,,,
Mijente — Criminal Justice Reform (2020),Mijente,Criminal Justice Reform,100000,5/1/2020,,,,,,,,,,,,,,
1Day Sooner — General Support (May 2020),1Day Sooner,Biosecurity and Pandemic Preparedness,500000,5/1/2020,,,,,,,,,,,,,,
Soroka Medical Center — COVID-19 Interferon Lambda Trial Study (Ohad Etzion),Soroka Medical Center,Scientific Research,55000,5/1/2020,,,,,,,,,,,,,,
Mass Liberation Arizona — General Support,Mass Liberation Arizona,Criminal Justice Reform,10000,5/1/2020,,,,,,,,,,,,,,
Court Watch NOLA — General Support (2020),Court Watch NOLA,Criminal Justice Reform,15000,5/1/2020,,,,,,,,,,,,,,
Stanford University — Preclinical Research on Hepatitis B (Jeffrey Glenn),Stanford University,Scientific Research,915000,5/1/2020,,,,,,,,,,,,,,
Humane Society International — African Swine Fever Training (2020),Humane Society International,Farm Animal Welfare,60000,5/1/2020,,,,,,,,,,,,,,
Conservative Animal Welfare Foundation — Farm Animal Welfare Advocacy,Conservative Animal Welfare Foundation,Farm Animal Welfare,488467,5/1/2020,,,,,,,,,,,,,,
You Are Not Alone — Drug Possession Decriminalization,You Are Not Alone,Criminal Justice Reform,30000,5/1/2020,,,,,,,,,,,,,,
Open Phil AI Fellowship — 2020 Class,Open Phil AI Fellowship,Potential Risks from Advanced Artificial Intelligence,2300000,5/1/2020,,,,,,,,,,,,,,
Sinergia Animal — Corporate Cage-Free Campaigns,Sinergia Animal,Farm Animal Welfare,800000,5/1/2020,,,,,,,,,,,,,,
Movement Voter Project — Criminal Justice Reform (2020),Movement Voter Project,Criminal Justice Reform,1500000,5/1/2020,,,,,,,,,,,,,,
Life Sciences Research Foundation — Young Investigators (2020),Life Sciences Research Foundation,Scientific Research,585000,5/1/2020,,,,,,,,,,,,,,
Nuclear Threat Initiative — Biosecurity Program Support (May 2020),Nuclear Threat Initiative,Biosecurity and Pandemic Preparedness,500000,5/1/2020,,,,,,,,,,,,,,
World Economic Forum — Global AI Council Workshop,World Economic Forum,Potential Risks from Advanced Artificial Intelligence,50000,4/1/2020,,,,,,,,,,,,,,
Foundation for Food and Agriculture Research — Research on Drought-Tolerant Rice,Foundation for Food and Agriculture Research,Scientific Research,97500,4/1/2020,,,,,,,,,,,,,,
Global Priorities Institute — General Support (2020),Global Priorities Institute,Other areas,3298715,4/1/2020,,,,,,,,,,,,,,
Harvard University — COVID-19 Serological Tests (Michael Mina),Harvard University,Scientific Research,1784981,4/1/2020,,,,,,,,,,,,,,
Southerners on New Ground — Criminal Justice Reform Work,Southerners On New Ground,Criminal Justice Reform,100000,4/1/2020,,,,,,,,,,,,,,
Equity and Transformation — General Support,Equity and Transformation,Criminal Justice Reform,25000,4/1/2020,,,,,,,,,,,,,,
Mercy Corps — Seasonal Migration Pilot Project and RCT,Mercy Corps,Immigration Policy,1000000,4/1/2020,,,,,,,,,,,,,,
LessWrong — General Support,LessWrong,Other areas,300000,4/1/2020,,,,,,,,,,,,,,
Law for Black Lives — Criminal Justice Reform (2020),Law for Black Lives,Criminal Justice Reform,100000,4/1/2020,,,,,,,,,,,,,,
Rutgers University — Nuclear Conflict Climate Modeling (2020),Rutgers University,Global Catastrophic Risks,3000000,4/1/2020,,,,,,,,,,,,,,
Center for Global Development — COVID-19 Net Health Impact Calculations,Center for Global Development,Global Health & Development,550000,4/1/2020,,,,,,,,,,,,,,
Amistad Law Project — General Support (April 2020),Amistad Law Project,Criminal Justice Reform,15000,4/1/2020,,,,,,,,,,,,,,
Families Against Mandatory Minimums — General Support,Families Against Mandatory Minimums,Criminal Justice Reform,15000,4/1/2020,,,,,,,,,,,,,,
Sea-Long Global Respiratory Systems — COVID-19 Ventilation Helmet Production,Sea-Long Global Respiratory Systems ,Biosecurity and Pandemic Preparedness,325000,4/1/2020,,,,,,,,,,,,,,
Reducetarian Foundation — Fish Consumption Messaging Research,Reducetarian Foundation,Farm Animal Welfare,14190,4/1/2020,,,,,,,,,,,,,,
Riverside Justice Table — Criminal Justice Reform Work,Riverside Justice Table,Criminal Justice Reform,15000,4/1/2020,,,,,,,,,,,,,,
Equalia — Broiler Welfare and Cage-Free Campaigns and International Farm Animal Welfare Investigations,Equalia,Farm Animal Welfare,150000,4/1/2020,,,,,,,,,,,,,,
Animal Nepal — Farm Animal Welfare,Animal Nepal ,Farm Animal Welfare,271700,4/1/2020,,,,,,,,,,,,,,
African Union Development Agency — General Support (2020),African Union Development Agency,Scientific Research,2500000,4/1/2020,,,,,,,,,,,,,,
University of Michigan — COVID-19 Protein Production (Aubree Gordon),University of Michigan ,Scientific Research,348000,4/1/2020,,,,,,,,,,,,,,
Icahn School of Medicine at Mount Sinai — COVID-19 Diagnostic Testing (Adolfo García-Sastre),Icahn School of Medicine at Mount Sinai,Scientific Research,627700,4/1/2020,,,,,,,,,,,,,,
"Truth, Reconciliation, and Reparations — General Support","Truth, Reconciliation, and Reparations",Criminal Justice Reform,25000,4/1/2020,,,,,,,,,,,,,,
National Council for Incarcerated and Formerly Incarcerated Women and Girls — General Support (2020),National Council for Incarcerated and Formerly Incarcerated Women and Girls,Criminal Justice Reform,250000,4/1/2020,,,,,,,,,,,,,,
Engineers Without Borders USA — COVID-19 Hospital Equipment,Engineers Without Borders USA,Scientific Research,250000,4/1/2020,,,,,,,,,,,,,,
iGEM — Synthetic Biology Safety and Security (2020),International Genetically Engineered Machine Foundation ,Biosecurity and Pandemic Preparedness,940000,4/1/2020,,,,,,,,,,,,,,
Brown Institute for Media Innovation — COVID-19 Rapid Micro-Grants,Brown Institute for Media Innovation,Biosecurity and Pandemic Preparedness,15000,4/1/2020,,,,,,,,,,,,,,
Florida Rights Restoration Coalition — General Support (2020),Florida Rights Restoration Coalition,Criminal Justice Reform,500000,4/1/2020,,,,,,,,,,,,,,
Foundation for Food and Agriculture Research — Farm Animal Welfare Research (2020),Foundation for Food and Agriculture Research,Farm Animal Welfare,500000,4/1/2020,,,,,,,,,,,,,,
UC Berkeley — Research on Rapid COVID-19 Serology Testing (Lisa Barcellos and Eva Harris),UC Berkeley,Scientific Research,1000000,4/1/2020,,,,,,,,,,,,,,
University of Colorado — COVID-19 Personal Protective Equipment Experiments,University of Colorado,Biosecurity and Pandemic Preparedness,250000,4/1/2020,,,,,,,,,,,,,,
Compassion in World Farming USA — Global EggTrack Program,Compassion in World Farming USA,Farm Animal Welfare,78750,4/1/2020,,,,,,,,,,,,,,
Effective Altruism Foundation — European Policy Research,Effective Altruism Foundation,Global Health & Development,15358,4/1/2020,,,,,,,,,,,,,,
"Californians for Stem Cell Research, Treatments and Cures — California Institute for Regenerative Medicine","Californians for Stem Cell Research, Treatments and Cures",Scientific Research,580000,4/1/2020,,,,,,,,,,,,,,
A New Way of Life — General Support,A New Way of Life,Criminal Justice Reform,25000,4/1/2020,,,,,,,,,,,,,,
Rockefeller University — Viral Histone Mimics (Alexander Tarakhovsky) (2020),Rockefeller University,Scientific Research,200000,4/1/2020,,,,,,,,,,,,,,
fair-fish international association — General Support,fair-fish international association,Farm Animal Welfare,630370,3/1/2020,,,,,,,,,,,,,,
Movement Alliance Project — Prosecutor Accountability (March 2020),Movement Alliance Project,Criminal Justice Reform,180000,3/1/2020,,,,,,,,,,,,,,
Broad Institute — COVID-19 Diagnostic Testing (Stacey Gabriel),Broad Institute,Scientific Research,925000,3/1/2020,,,,,,,,,,,,,,
Against COVID-19 — COVID-19 Database Support,Against COVID-19,Biosecurity and Pandemic Preparedness,10000,3/1/2020,,,,,,,,,,,,,,
UC Davis — Research on Antiviral Drugs (Koen Van Rompay),UC Davis,Scientific Research,206613,3/1/2020,,,,,,,,,,,,,,
Johns Hopkins University — Support for Jared Kaplan and Brice Ménard,Johns Hopkins University,Potential Risks from Advanced Artificial Intelligence,55000,3/1/2020,,,,,,,,,,,,,,
Court Watch NOLA — Coalition Coordination (2020),Court Watch NOLA,Criminal Justice Reform,35000,3/1/2020,,,,,,,,,,,,,,
Georgetown Center for Global Health Science and Security — General Support (March 2020),Georgetown Center for Global Health Science and Security,Biosecurity and Pandemic Preparedness,2400000,3/1/2020,,,,,,,,,,,,,,
Broad Institute — Pandemic Preemption System (Pardis Sabeti and Christian Happi),Broad Institute,Scientific Research,1000000,3/1/2020,,,,,,,,,,,,,,
Just Outcomes — Restorative Justice Convenings and Affinity Group Meetings,Just Outcomes,Criminal Justice Reform,30000,3/1/2020,,,,,,,,,,,,,,
Good Judgment Inc. — COVID-19 Forecasting,Good Judgment Inc.,Biosecurity and Pandemic Preparedness,75500,3/1/2020,,,,,,,,,,,,,,
Center for Global Development — COVID-19 Local Response Guidelines,Center for Global Development,Biosecurity and Pandemic Preparedness,250000,3/1/2020,,,,,,,,,,,,,,
UC Berkeley — Deworming and Cash Transfers (2020),UC Berkeley,Global Health & Development,88000,3/1/2020,,,,,,,,,,,,,,
Council on Strategic Risks — Biological Weapons Prevention (March 2020),Council on Strategic Risks,Biosecurity and Pandemic Preparedness,410000,3/1/2020,,,,,,,,,,,,,,
ReFrame — ReFrame Academy, ReFrame,Criminal Justice Reform,31500,3/1/2020,,,,,,,,,,,,,,
Alianima — General Support,Alianima,Farm Animal Welfare,130000,3/1/2020,,,,,,,,,,,,,,
Safety and Justice Oregon — General Support,Safety and Justice Oregon ,Criminal Justice Reform,200000,3/1/2020,,,,,,,,,,,,,,
"Stanford University — Infant Immunome Study (Mark Davis, Justin Sonnenburg, and Bali Pulendran)",Stanford University ,Scientific Research,8293676,3/1/2020,,,,,,,,,,,,,,
Study and Training Related to AI Policy Careers — Scholarship Support,Study and Training Related to AI Policy Careers,Potential Risks from Advanced Artificial Intelligence,,3/1/2020,,,,,,,,,,,,,,
Center for Global Development — Migration Program (2020),Center for Global Development,Immigration Policy,1000000,3/1/2020,,,,,,,,,,,,,,
Brighter Green — Farm Animal Welfare Advocacy (2020),Brighter Green,Farm Animal Welfare,340000,3/1/2020,,,,,,,,,,,,,,
International Society for Applied Ethology — Advance Farm Animal Welfare Science in Developing Nations (2020),International Society for Applied Ethology,Farm Animal Welfare,229830,3/1/2020,,,,,,,,,,,,,,
Royal Society for the Prevention of Cruelty to Animals — Broiler Chicken Welfare Outreach,Royal Society for the Prevention of Cruelty to Animals,Farm Animal Welfare,425000,3/1/2020,,,,,,,,,,,,,,
Centre for Effective Altruism — Support for Jade Leung,Centre for Effective Altruism,Other areas,180000,2/1/2020,,,,,,,,,,,,,,
Bipartisan Commission on Biodefense — General Support,Bipartisan Commission on Biodefense,Biosecurity and Pandemic Preparedness,2970000,2/1/2020,,,,,,,,,,,,,,
Nuclear Threat Initiative — Biosecurity Program Support (February 2020),Nuclear Threat Initiative,Biosecurity and Pandemic Preparedness,8000000,2/1/2020,,,,,,,,,,,,,,
"Run, George, Run — General Support (February 2020)","Run, George, Run",Criminal Justice Reform,30000,2/1/2020,,,,,,,,,,,,,,
San Francisco Rising — Prosecutor Accountability,San Francisco Rising,Criminal Justice Reform,50000,2/1/2020,,,,,,,,,,,,,,
